id,state,gender,median_home_val,hvp1,pobc1,pobc2,avggift,target_d,median_household_income,ic2,ic3,ic4,ic5
187274,IA,F,435.0,0,2,76,15.0,15.0,435.0,298.0,281,329.0,281
171655,Cali,F,1409.0,21,3,57,12.66666667,12.0,1409.0,405.0,377,428.0,377
160488,OR,M,647.0,0,6,34,9.5,10.0,647.0,422.0,401,463.0,401
21305,NC,M,415.0,0,0,86,8.333333333,10.0,415.0,308.0,242,300.0,242
98470,IL,F,492.0,0,3,85,8.75,14.0,492.0,384.0,276,399.0,276
140586,TX,M,1043.0,13,2,70,13.25,20.0,1043.0,682.0,731,788.0,731
158101,Cali,M,3668.0,97,10,44,15.0,15.0,3668.0,693.0,781,780.0,781
150043,Cali,M,3491.0,94,18,44,20.0,20.0,3491.0,828.0,853,903.0,853
96251,IL,F,192.0,0,3,89,5.866666667,10.0,192.0,211.0,186,224.0,186
188547,Cali,M,0.0,0,0,0,20.26086957,25.0,0.0,0.0,0,0.0,0
180617,WA,male,824.0,10,7,52,7.483333333,11.0,824.0,308.0,293,383.0,293
86000,SD,F,428.0,0,2,62,11.25,10.0,428.0,318.0,245,309.0,245
13265,AL,F,417.0,0,0,64,7.75,11.0,417.0,283.0,160,250.0,160
71,TN,F,399.0,0,0,85,6.818181818,16.0,399.0,315.0,336,352.0,336
148969,Cali,F,2377.0,85,13,53,9.111111111,10.0,2377.0,637.0,652,663.0,652
156324,Cali,,2016.0,51,11,53,8.75,15.0,2016.0,465.0,459,497.0,459
130976,CO,F,933.0,0,6,42,8.142857143,7.0,933.0,332.0,349,379.0,349
140141,NM,F,619.0,4,2,50,12.8,14.0,619.0,222.0,260,268.0,260
85416,Cali,F,3303.0,94,13,45,14.0,25.0,3303.0,568.0,586,614.0,586
108150,LA,F,960.0,0,10,57,15.2,20.0,960.0,526.0,548,613.0,548
129823,CO,M,1236.0,13,2,29,6.076923077,10.0,1236.0,630.0,727,737.0,727
104413,AZ,M,473.0,1,6,23,5.5,6.0,473.0,179.0,207,215.0,207
60512,IL,,1055.0,0,8,74,20.8,25.0,1055.0,462.0,379,400.0,379
90480,IL,F,1509.0,19,7,75,9.0,11.0,1509.0,617.0,599,680.0,599
148911,Cali,F,1953.0,47,11,47,15.5,10.0,1953.0,526.0,478,564.0,478
52990,TN,M,927.0,1,1,56,5.0,26.0,927.0,322.0,372,410.0,372
148022,Cali,F,2098.0,56,56,25,6.076923077,10.0,2098.0,311.0,352,368.0,352
147406,Cali,M,5209.0,99,7,47,30.94117647,38.0,5209.0,1220.0,1058,1128.0,1058
103468,MO,F,476.0,0,1,74,7.1,15.0,476.0,280.0,272,319.0,272
84100,MN,M,1515.0,17,6,63,14.0,14.0,1515.0,684.0,717,781.0,717
137548,AZ,M,2158.0,54,7,12,7.933333333,9.0,2158.0,516.0,535,640.0,535
6932,MO,M,1110.0,5,2,58,7.264705882,10.0,1110.0,544.0,538,624.0,538
37118,FL,,581.0,0,19,53,9.857142857,15.0,581.0,361.0,359,373.0,359
109179,LA,M,563.0,3,1,90,10.18181818,14.0,563.0,301.0,308,342.0,308
140642,NM,F,740.0,2,9,26,5.0,5.0,740.0,288.0,294,324.0,294
77057,IA,F,516.0,0,2,75,12.33333333,15.0,516.0,378.0,347,379.0,347
83131,MN,M,575.0,0,0,86,10.0,20.0,575.0,282.0,290,316.0,290
168078,Cali,M,2357.0,81,26,55,13.66666667,19.0,2357.0,540.0,570,609.0,570
32975,SC,M,645.0,0,3,15,10.875,25.0,645.0,360.0,306,376.0,306
37472,FL,M,825.0,0,63,21,20.0,20.0,825.0,239.0,290,301.0,290
63113,IN,M,531.0,0,2,70,5.375,5.0,531.0,278.0,272,290.0,272
57039,KY,F,195.0,0,0,94,4.302325581,5.0,195.0,148.0,159,179.0,159
58786,KY,F,423.0,0,0,82,6.055555556,20.0,423.0,297.0,274,279.0,274
164306,Cali,F,2725.0,83,9,51,15.0,30.0,2725.0,684.0,662,734.0,662
113129,OK,F,359.0,0,0,64,20.0,20.0,359.0,247.0,270,299.0,270
19094,CT,F,1373.0,2,5,71,28.33333333,40.0,1373.0,463.0,504,517.0,504
102224,NJ,J,1439.0,3,15,61,6.125,6.0,1439.0,414.0,417,464.0,417
155375,Cali,F,889.0,0,7,68,5.846153846,6.0,889.0,488.0,450,495.0,450
185030,FL,M,824.0,0,15,7,10.15384615,10.0,824.0,274.0,288,326.0,288
149887,Cali,M,1993.0,49,15,53,10.83333333,15.0,1993.0,472.0,484,520.0,484
117216,TX,F,618.0,0,9,75,10.25,30.0,618.0,310.0,302,394.0,302
167892,Cali,F,3259.0,83,17,49,7.666666667,10.0,3259.0,626.0,508,591.0,508
107618,NE,F,151.0,0,0,68,2.361111111,2.0,151.0,208.0,230,273.0,230
72410,MI,M,492.0,0,1,55,14.57142857,20.0,492.0,370.0,317,402.0,317
112319,AR,Female,892.0,5,2,21,17.0,30.0,892.0,406.0,426,468.0,426
28061,GA,F,948.0,1,2,65,5.484848485,5.0,948.0,530.0,585,584.0,585
108371,LA,F,717.0,0,21,62,24.16666667,20.0,717.0,313.0,235,302.0,235
187807,MI,M,612.0,1,1,27,12.1,22.0,612.0,326.0,392,400.0,392
180383,WA,F,919.0,1,5,56,8.214285714,11.0,919.0,337.0,349,346.0,349
183013,WA,male,697.0,0,3,34,10.0,11.0,697.0,364.0,337,406.0,337
187769,Cali,M,5059.0,99,10,48,10.6,25.0,5059.0,752.0,751,847.0,751
191056,Cali,M,5667.0,98,11,35,28.83333333,47.0,5667.0,808.0,594,848.0,594
151891,Cali,F,2750.0,91,10,44,11.44444444,15.0,2750.0,701.0,717,781.0,717
5822,KS,F,513.0,0,3,66,6.07675,11.0,513.0,434.0,436,482.0,436
164969,Cali,F,1848.0,33,28,49,5.684210526,7.0,1848.0,515.0,560,581.0,560
172846,Cali,M,1417.0,18,29,49,14.11111111,10.0,1417.0,341.0,519,508.0,519
95951,IL,F,347.0,0,6,74,8.076923077,20.0,347.0,255.0,229,286.0,229
18089,NC,M,994.0,2,1,70,13.77777778,25.0,994.0,475.0,485,530.0,485
35276,FL,,3542.0,76,3,31,6.642857143,10.0,3542.0,690.0,807,843.0,807
18607,NC,M,797.0,2,0,74,7.769230769,23.0,797.0,418.0,423,451.0,423
61275,IN,M,791.0,1,1,74,7.636363636,12.0,791.0,407.0,390,428.0,390
36141,FL,F,957.0,16,5,17,15.0,10.0,957.0,399.0,450,459.0,450
85716,MN,F,357.0,0,1,78,25.0,25.0,357.0,214.0,215,254.0,215
154195,Cali,F,896.0,2,7,46,20.0,20.0,896.0,362.0,389,418.0,389
46755,AL,F,402.0,0,1,86,4.833333333,5.0,402.0,249.0,276,300.0,276
13239,FL,M,3083.0,52,26,3,2.916666667,3.0,3083.0,270.0,233,332.0,233
86068,SD,F,460.0,0,1,69,9.363636364,5.0,460.0,357.0,300,372.0,300
67900,MI,M,294.0,0,2,80,17.5,20.0,294.0,355.0,391,404.0,391
59610,IN,F,1199.0,2,0,69,10.0,15.0,1199.0,556.0,597,605.0,597
13378,CA,F,1125.0,15,10,51,5.714285714,7.0,1125.0,336.0,305,362.0,305
20752,NC,M,974.0,3,2,32,8.533333333,13.0,974.0,279.0,300,330.0,300
30934,GA,M,316.0,0,0,79,12.5,15.0,316.0,238.0,254,280.0,254
102163,MO,F,825.0,1,4,49,25.0,30.0,825.0,463.0,464,555.0,464
128976,TX,F,642.0,0,12,35,6.142857143,10.0,642.0,284.0,306,312.0,306
44088,IN,M,1263.0,21,4,58,7.6875,10.0,1263.0,517.0,548,601.0,548
154931,CA,F,1809.0,35,12,44,8.0,10.0,1809.0,466.0,503,543.0,503
87939,IL,M,5294.0,96,12,57,13.0,30.0,5294.0,1165.0,1012,1065.0,1012
140779,NV,F,1161.0,5,8,14,5.75,6.0,1161.0,484.0,536,570.0,536
113838,OK,F,295.0,0,1,62,6.333333333,8.0,295.0,203.0,195,248.0,195
156568,CA,,3020.0,95,4,46,40.08333333,75.0,3020.0,765.0,809,823.0,809
130485,CO,F,431.0,0,3,32,8.571428571,16.0,431.0,342.0,386,541.0,386
101803,MO,F,544.0,0,1,71,11.0,25.0,544.0,283.0,326,340.0,326
41899,FL,M,618.0,2,7,22,7.846153846,10.0,618.0,278.0,278,335.0,278
30795,GA,M,323.0,2,0,77,5.444444444,10.0,323.0,207.0,201,210.0,201
133256,ID,M,1104.0,7,3,50,13.0,10.0,1104.0,528.0,534,566.0,534
151203,CA,U,2135.0,58,10,55,8.2,5.0,2135.0,417.0,433,456.0,433
31425,GA,M,671.0,3,4,70,4.888888889,16.0,671.0,365.0,372,441.0,372
70524,MI,F,510.0,0,1,80,10.8,23.0,510.0,370.0,324,394.0,324
161229,CA,F,650.0,13,43,49,8.666666667,21.0,650.0,302.0,315,318.0,315
83181,MN,F,487.0,0,1,88,12.72727273,15.0,487.0,287.0,286,327.0,286
143528,CA,F,2925.0,83,27,21,7.523809524,10.0,2925.0,305.0,353,376.0,353
42970,FL,M,884.0,1,6,6,4.428571429,3.0,884.0,268.0,271,313.0,271
83708,MN,F,753.0,0,1,80,8.4,10.0,753.0,393.0,373,442.0,373
101390,MO,F,594.0,1,0,79,2.571428571,2.0,594.0,350.0,343,347.0,343
77898,WI,male,627.0,0,6,71,7.5,10.0,627.0,427.0,394,444.0,394
77345,WI,male,806.0,0,1,85,13.2,16.0,806.0,420.0,382,447.0,382
142579,CA,F,3149.0,80,8,33,10.71428571,20.0,3149.0,601.0,562,672.0,562
162209,CA,F,5266.0,96,17,36,9.2,10.0,5266.0,675.0,669,785.0,669
171396,CA,M,1401.0,1,6,49,5.0,6.0,1401.0,445.0,462,466.0,462
129530,CO,M,593.0,0,8,33,12.5,10.0,593.0,180.0,207,230.0,207
33773,FL,F,915.0,13,8,19,13.0,20.0,915.0,357.0,367,438.0,367
10031,NE,F,456.0,2,2,75,7.285714286,10.0,456.0,311.0,314,381.0,314
62056,IN,M,610.0,0,0,86,4.625,7.0,610.0,336.0,384,407.0,384
11494,FL,M,1229.0,21,2,30,8.4,5.0,1229.0,502.0,507,544.0,507
44847,FL,M,428.0,1,7,35,9.769230769,10.0,428.0,196.0,171,208.0,171
94851,IL,F,2333.0,61,18,45,7.307692308,10.0,2333.0,643.0,420,744.0,420
15668,NC,M,707.0,0,0,84,9.333333333,45.0,707.0,400.0,398,433.0,398
175579,OR,F,377.0,0,16,42,16.66666667,20.0,377.0,199.0,219,187.0,219
150534,CA,U,1624.0,13,38,47,5.0,4.0,1624.0,382.0,407,408.0,407
68441,MI,F,348.0,0,0,71,27.5,30.0,348.0,269.0,264,316.0,264
157185,CA,F,1878.0,35,8,62,6.785652174,5.0,1878.0,526.0,564,566.0,564
90816,IL,F,777.0,0,6,84,17.8,20.0,777.0,386.0,396,423.0,396
94915,IL,F,1463.0,8,26,60,12.16666667,15.0,1463.0,439.0,266,523.0,266
118392,TX,M,375.0,0,1,84,5.347826087,12.0,375.0,214.0,206,248.0,206
187571,IN,,561.0,1,0,60,19.66666667,26.0,561.0,301.0,323,331.0,323
21659,NC,M,502.0,1,0,85,7.875,10.0,502.0,250.0,229,261.0,229
157672,CA,M,4206.0,93,19,36,12.66666667,10.0,4206.0,804.0,834,850.0,834
64166,IN,M,800.0,4,7,60,16.6,23.0,800.0,398.0,338,425.0,338
185304,CO,M,1472.0,27,3,24,15.21428571,21.0,1472.0,653.0,687,732.0,687
57963,KY,F,492.0,3,0,71,8.4375,10.0,492.0,450.0,425,471.0,425
98249,IL,F,609.0,1,0,92,6.666666667,10.0,609.0,347.0,349,385.0,349
153689,CA,F,2430.0,85,11,42,9.5,20.0,2430.0,610.0,659,669.0,659
157807,CA,M,2559.0,84,13,51,10.25,16.0,2559.0,591.0,614,651.0,614
41715,FL,,696.0,7,7,22,3.3,3.0,696.0,357.0,358,427.0,358
45356,FL,M,762.0,7,7,13,6.608695652,8.0,762.0,355.0,327,411.0,327
163506,CA,F,3556.0,98,9,55,15.85714286,15.0,3556.0,701.0,838,805.0,838
107727,NE,F,441.0,0,1,75,5.279069767,7.0,441.0,321.0,300,353.0,300
64212,IN,F,502.0,0,1,80,15.66666667,20.0,502.0,363.0,341,388.0,341
60252,IN,M,673.0,0,1,67,13.45454546,15.0,673.0,330.0,335,373.0,335
45101,FL,F,1173.0,5,7,14,4.125,3.0,1173.0,424.0,407,494.0,407
36528,FL,F,934.0,1,73,17,25.0,25.0,934.0,373.0,376,400.0,376
38820,FL,M,1332.0,2,14,15,9.576923077,20.0,1332.0,411.0,422,497.0,422
133906,ID,F,451.0,1,1,43,15.0,10.0,451.0,261.0,262,294.0,262
12226,CO,F,649.0,0,7,60,5.411764706,8.0,649.0,273.0,272,302.0,272
8696,OK,F,590.0,0,1,65,13.0,11.0,590.0,439.0,433,456.0,433
119368,TX,F,500.0,0,6,50,11.5,25.0,500.0,316.0,314,379.0,314
14319,FL,M,368.0,0,0,68,10.7,19.0,368.0,271.0,261,295.0,261
118408,TX,M,427.0,0,2,86,9.0,15.0,427.0,365.0,340,377.0,340
146585,CA,F,1458.0,7,40,38,4.243243243,8.0,1458.0,191.0,220,249.0,220
120115,TX,M,274.0,1,6,84,40.875,200.0,274.0,214.0,199,256.0,199
57463,KY,F,584.0,0,3,62,11.14285714,10.0,584.0,287.0,336,341.0,336
94394,IL,F,553.0,0,2,72,8.916666667,10.0,553.0,309.0,333,348.0,333
155135,CA,M,903.0,0,8,54,6.75,7.0,903.0,406.0,358,390.0,358
149595,CA,M,2545.0,80,38,37,12.5,17.0,2545.0,304.0,386,358.0,386
166606,CA,F,1778.0,27,21,41,39.44444444,50.0,1778.0,480.0,439,503.0,439
8240,CA,,1187.0,11,11,49,10.81481482,10.0,1187.0,366.0,393,428.0,393
185904,TX,F,1448.0,18,3,49,7.076923077,13.0,1448.0,667.0,698,724.0,698
49351,AL,Male,712.0,1,0,73,14.2,15.0,712.0,398.0,446,472.0,446
191779,FL,M,1432.0,24,0,44,25.0,150.0,1432.0,693.0,680,772.0,680
169881,CA,F,2598.0,74,9,36,8.222222222,15.0,2598.0,557.0,562,661.0,562
144356,CA,F,2855.0,78,28,47,6.538461539,20.0,2855.0,385.0,484,537.0,484
186528,TX,F,535.0,3,8,86,9.8125,15.0,535.0,437.0,317,402.0,317
14161,WA,male,703.0,0,2,55,7.818181818,10.0,703.0,206.0,206,232.0,206
190839,IL,M,662.0,1,17,60,12.5,15.0,662.0,406.0,394,456.0,394
146269,CA,F,2973.0,85,39,41,7.25,10.0,2973.0,591.0,624,654.0,624
188507,CA,F,2289.0,66,8,61,9.769230769,10.0,2289.0,647.0,657,679.0,657
116251,TX,F,1274.0,1,4,31,6.409090909,10.0,1274.0,798.0,804,825.0,804
81945,WI,male,840.0,11,1,79,15.0,20.0,840.0,471.0,513,548.0,513
8989,WA,F,1024.0,5,5,46,10.5,32.0,1024.0,451.0,446,472.0,446
47282,AL,F,558.0,0,2,77,7.5,15.0,558.0,354.0,382,398.0,382
2950,MT,M,717.0,1,2,37,4.85,2.0,717.0,315.0,333,358.0,333
87771,IL,F,1667.0,26,8,65,13.33333333,20.0,1667.0,603.0,592,624.0,592
167934,WA,F,843.0,5,6,32,10.72727273,21.0,843.0,424.0,475,486.0,475
26045,GA,F,583.0,5,4,22,9.666666667,14.0,583.0,374.0,405,434.0,405
661,CA,M,1801.0,34,3,48,19.47058824,20.0,1801.0,534.0,475,525.0,475
47569,AL,F,863.0,2,3,58,9.153846154,10.0,863.0,527.0,459,562.0,459
176743,OR,M,335.0,0,7,36,4.857142857,7.0,335.0,157.0,154,170.0,154
188164,TX,,1362.0,8,4,63,8.533333333,10.0,1362.0,645.0,627,718.0,627
134364,UT,F,700.0,0,6,63,20.0,20.0,700.0,257.0,281,302.0,281
93742,IL,F,562.0,0,24,69,20.0,30.0,562.0,480.0,388,474.0,388
39479,FL,M,1287.0,7,15,35,4.105769231,4.0,1287.0,508.0,567,616.0,567
54142,TN,F,476.0,0,0,55,13.0,21.0,476.0,254.0,272,310.0,272
168038,CA,M,5939.0,99,19,42,20.0,36.0,5939.0,1211.0,1080,1085.0,1080
48675,AL,F,648.0,0,0,77,7.0,5.0,648.0,418.0,357,453.0,357
158980,CA,M,1862.0,23,25,45,17.85714286,20.0,1862.0,372.0,401,425.0,401
153888,CA,F,1843.0,34,15,29,19.0,10.0,1843.0,511.0,575,582.0,575
162300,CA,M,5190.0,98,10,47,9.888888889,20.0,5190.0,892.0,871,918.0,871
163081,CA,M,3912.0,98,22,32,6.0,7.0,3912.0,410.0,404,454.0,404
14000,OK,F,1537.0,26,2,54,11.0625,12.0,1537.0,783.0,916,949.0,916
6599,WA,F,719.0,1,3,57,10.86666667,11.0,719.0,340.0,389,416.0,389
135454,AZ,M,1074.0,11,2,34,8.823529412,15.0,1074.0,472.0,510,516.0,510
128643,TX,M,298.0,0,3,75,6.625,4.0,298.0,281.0,267,303.0,267
116420,TX,M,1951.0,49,6,32,9.333333333,20.0,1951.0,838.0,870,896.0,870
35101,FL,M,1434.0,25,3,37,18.0,20.0,1434.0,479.0,513,577.0,513
75474,IA,M,206.0,0,0,86,11.66666667,15.0,206.0,251.0,267,288.0,267
785,MI,M,613.0,0,39,42,17.5,18.0,613.0,267.0,209,349.0,209
27624,GA,F,991.0,3,2,46,7.769230769,8.0,991.0,506.0,532,548.0,532
73754,MI,F,900.0,0,3,74,13.31818182,25.0,900.0,420.0,386,465.0,386
141189,NV,F,1163.0,7,3,26,53.0,25.0,1163.0,493.0,511,548.0,511
1544,HI,F,3260.0,87,19,52,13.0,10.0,3260.0,542.0,552,581.0,552
124149,TX,M,430.0,0,1,82,12.0,14.0,430.0,283.0,281,320.0,281
85890,SD,F,167.0,0,0,85,14.41176471,20.0,167.0,273.0,247,290.0,247
37005,FL,F,1380.0,14,8,26,7.875,11.0,1380.0,325.0,299,371.0,299
166324,CA,U,3357.0,73,15,33,11.85714286,19.0,3357.0,455.0,343,447.0,343
13448,CA,F,1518.0,13,64,27,5.055555556,5.0,1518.0,171.0,208,218.0,208
180428,WA,male,1390.0,12,3,63,18.0,20.0,1390.0,430.0,463,470.0,463
12517,MO,M,1224.0,7,2,77,2.8125,1.0,1224.0,577.0,608,611.0,608
99246,IL,F,182.0,0,0,64,10.26666667,20.0,182.0,217.0,242,278.0,242
174760,OR,F,786.0,1,1,59,4.555555556,5.0,786.0,452.0,444,466.0,444
124379,TX,M,308.0,0,10,72,4.5,5.0,308.0,186.0,204,219.0,204
176862,OR,F,1074.0,15,1,18,10.04347826,20.0,1074.0,252.0,294,309.0,294
188986,AZ,M,885.0,12,8,1,9.714285714,9.0,885.0,408.0,417,454.0,417
148906,CA,F,2375.0,71,21,39,4.142857143,6.0,2375.0,363.0,411,363.0,411
109646,LA,M,657.0,3,0,87,9.472222222,10.0,657.0,293.0,303,325.0,303
62295,IN,F,581.0,0,7,70,25.5,20.0,581.0,372.0,369,383.0,369
162650,CA,M,3010.0,93,20,56,8.333333333,5.0,3010.0,518.0,431,559.0,431
99836,MO,M,548.0,0,0,96,15.0,21.0,548.0,355.0,298,342.0,298
33994,FL,M,819.0,3,1,47,7.090909091,6.0,819.0,388.0,421,459.0,421
93432,IL,F,613.0,0,1,60,6.0,11.0,613.0,245.0,294,355.0,294
62786,IN,F,431.0,0,0,62,8.235294118,11.0,431.0,314.0,310,347.0,310
44634,FL,M,710.0,6,4,30,7.285714286,10.0,710.0,287.0,325,391.0,325
146914,CA,F,3673.0,97,10,39,6.5,10.0,3673.0,675.0,589,725.0,589
70079,MI,F,365.0,0,0,53,15.0,15.0,365.0,310.0,221,330.0,221
24871,SC,F,682.0,2,3,63,9.666666667,16.0,682.0,464.0,421,498.0,421
150660,UT,F,901.0,1,8,61,10.20588235,12.0,901.0,336.0,411,437.0,411
169700,California,M,1676.0,9,6,69,5.571428571,25.0,1676.0,336.0,398,372.0,398
63542,IN,F,445.0,0,0,78,14.55555556,26.0,445.0,398.0,370,423.0,370
125164,TX,F,588.0,0,5,85,22.6,50.0,588.0,383.0,344,381.0,344
65634,MI,F,413.0,0,12,46,10.16666667,12.0,413.0,171.0,123,231.0,123
59285,IN,F,522.0,0,1,84,12.0,10.0,522.0,349.0,326,403.0,326
78802,WI,J,667.0,0,5,68,15.0,15.0,667.0,385.0,334,422.0,334
186460,WI,F,303.0,0,1,76,10.375,20.0,303.0,217.0,219,253.0,219
114579,OK,M,633.0,0,0,63,13.16666667,10.0,633.0,442.0,439,517.0,439
23184,SC,F,391.0,0,0,77,14.0,10.0,391.0,243.0,242,269.0,242
125289,TX,F,707.0,0,13,63,5.25,7.0,707.0,283.0,291,327.0,291
10502,MI,M,1179.0,2,2,82,13.46666667,15.0,1179.0,496.0,462,501.0,462
46844,AL,Male,453.0,0,0,90,7.0,10.0,453.0,264.0,263,299.0,263
162814,CA,M,3365.0,94,8,59,6.2,10.0,3365.0,525.0,655,621.0,655
89653,IL,M,1315.0,9,5,64,4.818181818,3.0,1315.0,384.0,398,472.0,398
170818,CA,F,668.0,0,32,39,6.0,10.0,668.0,191.0,239,240.0,239
6147,SC,M,399.0,0,0,88,13.90909091,24.0,399.0,266.0,259,302.0,259
14276,CA,F,3200.0,87,36,43,13.2,15.0,3200.0,292.0,325,338.0,325
120166,TX,F,289.0,0,3,83,9.214285714,12.0,289.0,226.0,224,283.0,224
156817,CA,F,1796.0,33,48,32,20.0,20.0,1796.0,271.0,334,337.0,334
35476,FL,M,625.0,0,17,16,17.14285714,25.0,625.0,282.0,299,309.0,299
155382,CA,F,978.0,6,9,50,15.85,30.0,978.0,324.0,349,381.0,349
104049,MO,M,367.0,0,0,63,3.166666667,3.0,367.0,186.0,193,222.0,193
112461,AR,M,376.0,3,0,57,9.411764706,10.0,376.0,195.0,231,256.0,231
79580,WI,F,937.0,7,13,52,15.0,21.0,937.0,441.0,433,545.0,433
86528,ND,F,675.0,1,1,81,3.083333333,3.0,675.0,310.0,301,358.0,301
107658,NE,F,232.0,0,1,81,6.928571429,10.0,232.0,259.0,229,280.0,229
69537,MI,F,545.0,0,2,89,8.6,15.0,545.0,382.0,400,416.0,400
81284,WI,F,458.0,0,4,82,13.4,25.0,458.0,270.0,276,318.0,276
32475,FL,M,814.0,3,2,52,16.4,20.0,814.0,268.0,312,324.0,312
104505,KS,F,671.0,0,0,57,10.0,25.0,671.0,340.0,349,376.0,349
